                                                            User  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
177                                         jiabenchen_umass_edu         15           77.333333        99.980556       1.0                      0.229981                      1.024831e-04
461                                        zhehuanchen_umass_edu         87           79.540230       356.329722       1.0                      0.064920                      1.031036e-04
434                                         xiaowenqiu_umass_edu        119           78.655462       544.215000       1.0                      0.043155                      1.046767e-04
453                                        yuefengpeng_umass_edu        451           78.669623      2527.133056       1.0                      0.009668                      1.089011e-04
104                                          debrupdas_umass_edu         24           80.000000       138.764722       1.0                      0.177289                      1.096492e-04
268                                           ngultran_umass_edu        163           79.509202      1024.173056       1.0                      0.024354                      1.111718e-04
37                                           anijasure_umass_edu         80           80.000000       649.351944       1.0                      0.039510                      1.143494e-04
130                                              elobo_umass_edu       2388           79.396985      8716.256667       1.0                      0.003022                      1.173981e-04
318                                        qinhongzhou_umass_edu        433           77.690531      1422.315000       1.0                      0.018845                      1.194614e-04
60                                            avbagchi_umass_edu         28           80.000000       174.753889       1.0                      0.155656                      1.212376e-04
163                                             hzhu2_umassd_edu        136           79.705882      1198.657222       1.0                      0.022862                      1.221415e-04
444                                           yianwang_umass_edu        658           79.574468      3486.656667       1.0                      0.007901                      1.227751e-04
13                                            abhinavs_umass_edu         15           80.000000        95.665556       1.0                      0.289133                      1.232817e-04
156                                       hongxinzhang_umass_edu        412           78.349515      2130.005278       1.0                      0.013065                      1.240317e-04
332                                       rseetharaman_umass_edu          7           80.000000        45.212222       1.0                      0.620598                      1.250580e-04
127                                         eaghazadeh_umass_edu        149           77.315436       627.686944       1.0                      0.049390                      1.381741e-04
399                                       tanyachowdhu_umass_edu         27           80.000000       111.309167       1.0                      0.278777                      1.383034e-04
281                                       odanielskoch_umass_edu         13           64.615385        24.447222       1.0                      1.285050                      1.400215e-04
218                                         lixingfang_umass_edu        114           75.789474       402.917222       1.0                      0.078256                      1.405325e-04
431                                            wuaoliu_umass_edu        230           80.000000      1138.318333       1.0                      0.028336                      1.437624e-04
181                                           jinhuang_umass_edu         44           80.000000        94.851944       1.0                      0.340123                      1.437897e-04
113                                       dhruvmaheshw_umass_edu         73           80.000000       293.176944       1.0                      0.112118                      1.465048e-04
317                                            pvinod_umassd_edu         68           80.000000       549.724444       1.0                      0.060578                      1.484243e-04
68                                          bcallaghan_umass_edu         18           80.000000        59.791389       1.0                      0.575976                      1.534928e-04
322                                            rdaroya_umass_edu        532           79.548872      1243.656389       1.0                      0.029071                      1.611435e-04
432                                            wuzhexu_umass_edu        149           80.000000      1315.088889       1.0                      0.028289                      1.658100e-04
278                                            nperla_umassd_edu        218           80.000000      1250.332500       1.0                      0.030784                      1.715533e-04
