                                                            User  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
202                                          kgudipaty_umass_edu         29           80.000000       104.631389       1.0                      0.390858                      1.851623e-04
94                                          csamarinas_umass_edu         43           80.000000       446.322500       1.0                      0.093595                      1.891350e-04
412                                       waabdelrahma_umass_edu         18           80.000000        47.080833       1.0                      0.895069                      1.907975e-04
446                                         zeyuanyang_umass_edu        710           79.323944      3603.278889       1.0                      0.011915                      1.943903e-04
423                                             xwang3_umass_edu       1019           79.842983      7264.200000       1.0                      0.005954                      1.958166e-04
54                                         ashwin_girish_uri_edu          9           80.000000       533.290833       1.0                      0.085966                      2.075696e-04
47                                        arghyadeepda_umass_edu          5           80.000000        25.437222       1.0                      1.839263                      2.118290e-04
75                                         brian_mingels_uri_edu         38           80.000000       267.230278       1.0                      0.176140                      2.131153e-04
433                                         yipengdeng_umass_edu         57           77.894737       202.215833       1.0                      0.239172                      2.189766e-04
243                                              mmanuel_uri_edu         32           80.000000       120.621111       1.0                      0.437021                      2.386701e-04
157                                            hss822_utexas_edu        190           80.000000      1623.561944       1.0                      0.033425                      2.457029e-04
165                                    jacob_adamczyk001_umb_edu          9           80.000000       259.153333       1.0                      0.211701                      2.484003e-04
